Terrorist_Organization,Min_Year,Max_Year,Min_Month,Max_Month,Min_Day,Max_Day,Number_Of_Attacks,Number_Of_Deaths
Lebanese Free Will Movement,1978,1978,11,11,21,21,1,4
Guerrillas,1978,2000,1,12,0,30,45,96
International Mercenary Brigade,1978,1978,11,11,23,23,2,2
Right Wing Christian extremists,1978,1978,11,11,24,24,2,1
ATALA,1978,1978,11,11,27,27,1,1
Workers' Self-Defense Movement (MAO),1978,1981,1,11,7,29,14,4
New Armenian Resistance,1978,1983,2,12,0,30,10,2
Terrorists,1978,1987,1,12,1,31,58,105
Miguel Angel Cabrera Command,1978,1978,12,12,5,5,1,1
American Anticommunist Association (AAA),1978,1978,12,12,8,8,1,0
Corsican Nationalists,1978,2017,3,12,2,24,14,0
Zimbabwe Patriotic Front,1978,1979,1,12,8,25,8,15
Combatant Nucleus for Communism,1978,1978,12,12,15,15,1,0
National Defense Youth Corps,1978,1978,12,12,17,17,1,0
Combatant Communist Front,1978,1978,12,12,18,18,1,0
Basque terrorists,1978,1985,3,12,11,31,4,2
Workers' Organization for Communism,1978,1980,2,12,19,29,2,0
Spanish Basque Battalion (BBE) (rightist),1978,1981,1,12,3,30,12,10
Politico-Military Revolutionary Command,1978,1978,12,12,22,22,1,0
Cambodian National Front for National Salvation,1978,1978,12,12,23,23,1,1
People's Army (Myanmar),1979,1979,1,2,2,14,6,25
Shan State Progressive Party,1979,1979,1,3,2,28,11,56
People's Army (Nicaragua),1979,1979,1,1,9,9,1,1
Organized Comrads for Communism,1979,1979,1,1,10,10,1,1
Rhodesian guerillas,1979,1979,1,1,13,13,1,1
Shia Muslim extremists,1979,2017,1,12,1,31,40,173
Guards of the Fighting Proletariat,1979,1979,1,1,18,18,1,0
Fighting Communist Unit,1979,1979,1,1,23,23,1,0
Armed Action Force (FADA),1979,1979,1,1,25,25,1,1
Shining Path (SL),1979,2018,1,12,0,31,4085,11607
22-Jan,1979,1981,1,10,21,31,2,1
Armed Proletariat Fighting Squad,1979,1979,2,2,1,1,1,0
Save Uganda Movement,1979,1979,2,2,3,13,3,0
Autonomous Groups,1979,1979,2,2,5,5,1,0
Fighters for the Liberation of the Turkish People,1979,1979,2,2,7,7,1,1
ROSADO-SOTO Command,1979,1979,2,2,10,10,1,0
Abd al-Krim Commandos,1979,1979,2,2,11,11,2,0
Fedayeen Khalq (People's Commandos),1979,1987,2,11,7,17,6,0
Communist Party of Thailand,1979,1979,2,2,15,15,1,6
Corsican Separatists,1979,2000,1,12,0,29,48,1
Communist Territorial Unit,1979,1979,2,2,20,20,1,0
Death Squad of Organization Zero (Organizacion Cero),1979,1979,2,2,22,22,1,6
Spanish International Communist Party,1979,1979,2,2,24,24,1,0
Anti-Soviet protest group,1979,1979,2,2,27,27,1,0
Patriotic Moroccan Front,1979,1979,3,3,4,4,1,0
Subversives,1979,1987,1,12,4,19,9,5
Organized Comrades for Feminist Counter-Power,1979,1981,2,3,6,7,3,0
Karen National Union,1979,2013,1,12,1,30,87,223
Francia,1979,1979,3,3,11,11,8,0
Justice Party,1979,1979,3,3,12,12,1,1
Wild Cats,1979,1979,3,3,13,13,1,1
People's Military Organization (OMP),1979,1979,3,3,22,22,1,3
Mozambique National Resistance Movement (MNR),1979,2017,1,12,0,31,301,2559
Zimbabwe African Nationalist Union (ZANU),1979,2018,2,11,1,30,23,28
Turkish Revolutionaries,1979,1979,3,3,26,26,1,0
Autonomous Intervention Collective Against the Zionist Presence in France,1979,1979,3,3,27,27,1,0
Palestinian Students,1979,1979,3,3,27,27,1,0
Dainihon Yokuko Doshikai,1979,1979,3,3,31,31,1,0
Thai Communists,1979,1979,4,4,1,1,1,1
Syrian Social Nationalist Party,1979,2008,4,11,9,25,7,26
Black March,1979,1979,4,4,16,16,2,0
Policarpa Salauarpieta (Women's Command),1979,1979,4,4,17,17,1,0
Free Lebanon,1979,1979,4,4,18,18,1,0
Eagles of the Palestinian Revolution,1979,1989,4,11,5,22,7,5
Jewish Combat Organization,1979,1979,4,4,20,20,1,0
Extremists,1979,2009,1,12,4,28,27,11
Palestine Liberation Front (PLF),1979,1990,3,10,7,30,7,13
Forqan Group,1979,1981,3,12,0,30,18,17
Meitei extremists,1979,1979,4,4,26,26,1,4
Greek Popular Resistance,1979,1979,4,4,27,27,1,0
League of French Fighters Against Jewish Occupation,1979,1979,4,4,29,29,1,0
Coordination for Revolutionary Action (CAR),1979,1979,5,5,2,2,16,0
Villagers,1979,2001,4,11,1,25,6,4
Proletarian Fighting Patrol,1979,1979,5,5,5,5,7,0
Lesotho Liberation Army (LLA),1979,1988,1,10,2,28,11,19
Communist Nuclei of Counter Power,1979,1979,5,5,14,14,1,0
Popular Revolutionary Movement (Italy),1979,1979,5,5,14,24,2,0
Left-Wing Guerrillas,1979,2003,1,12,0,31,120,341
Territorial Communist Command,1979,1979,5,5,15,15,1,0
Hawaiian extremists,1979,1979,5,5,17,17,1,1
Territorial Cells for Boycotting the Elections,1979,1979,5,5,21,21,1,0
Ecology and Antinuclear Revolutionary Party (CRAE),1979,1979,5,5,24,24,1,0
Anti-Government Guerrillas,1979,2006,1,11,6,31,16,143
International Committee Against Nazism,1979,1979,6,6,1,4,5,0
Colombians,1979,1979,6,6,7,7,1,0
Pan Africanist Congress (PAC),1979,1992,1,12,2,22,5,6
The Jewish Execution with Silence,1979,1979,6,6,13,13,1,0
Mizo National Front,1979,1982,3,10,1,27,12,24
Territorial Resistance Army,1979,1979,6,8,16,29,3,0
Muslim Brotherhood,1979,2018,1,12,0,31,105,306
Serbian Nationalists,1979,1991,5,7,2,20,4,3
Republican People's Party,1979,1979,6,6,27,27,1,1
Radicals,1979,1986,6,10,1,28,4,0
Supporter of Bhutto,1979,1979,6,6,30,30,1,0
Left-Wing Terrorists,1979,1996,1,12,1,30,41,71
Basque Justice,1979,1979,7,7,2,2,1,0
Arab Separatists,1979,1980,3,11,1,28,19,13
Unk (men in army uniforms with arms and gas masks),1979,1979,7,7,11,11,1,0
Autonomy-Seeking Arabs,1979,1979,7,7,15,15,1,7
Dev Sol,1979,1996,1,12,2,31,252,123
Armed Subversives,1979,1979,7,7,27,27,1,4
Popular Movement for the Liberation of Cabinda,1979,1979,8,8,0,0,1,18
Spanish National Action,1979,1979,8,9,2,14,2,2
Arab Liberation Front (ALF),1979,1980,4,9,5,30,3,9
Iraqi Communists,1979,1979,8,8,6,6,2,0
July 14 Movement,1979,1979,8,8,13,13,1,0
Sharivad 17 Tal-Al-Za'atar(Sept 17 Tal-Al-Za'atar),1979,1979,8,8,17,17,1,0
Organization of Avenging Palestinian Youth,1979,1979,9,9,4,4,1,0
Personnel of the National Information Center,1979,1979,9,9,6,6,1,0
Naxalites,1979,2011,1,12,1,30,65,409
Tyrolean Defense League,1979,1979,9,9,11,11,1,0
Muslim extremists,1979,2018,1,12,0,31,669,1383
Autonomous Group for Armed Action,1979,1979,9,9,16,16,1,0
Revolutionary Organization of People in Arms (ORPA),1979,1990,1,12,0,29,90,287
Honour of the Police,1979,1979,9,9,20,20,1,1
Central American Revolutionary Workers Party (PRTC),1979,1979,9,9,21,21,1,2
People's Liberation Army (India),1979,2018,1,12,2,31,92,91
Ethiopian People's Revolutionary Party,1979,1992,4,12,4,27,5,241
Martyrs revenge organization,1979,1979,9,9,24,24,1,0
Right Wing Lebanese Militiamen,1979,1979,9,9,25,25,1,3
Italian Extreme Nationalist Organization,1979,1979,9,9,26,26,1,0
Communist Fighting Front,1979,1979,9,9,26,26,1,0
Kurdish Rebels,1979,1996,4,10,2,26,7,38
Armed Forces of Popular Resistance (FARP),1979,1982,3,10,2,15,3,0
Pro-Palestinian extremists,1979,2018,5,10,5,20,4,0
Separatist Arab Guerrillas,1979,1979,10,10,5,5,1,1
Revolutionary Road,1979,1979,10,10,5,5,1,1
Kurdish Marxist Separatists,1979,1979,10,10,14,14,1,4
Communist Territorial Nuclei,1979,1980,1,10,10,31,4,1
Patriotic Liberation Front (FPL),1979,1979,10,10,18,18,1,0
Movement of the Revolutionary Left (MIR) (Bolivia),1979,1979,10,10,20,20,1,0
RIF Popular Front,1979,1979,10,10,20,20,1,0
Autonomous Anarchist Groups,1979,1979,10,10,24,24,1,0
East Side Action Committee,1979,1979,11,11,9,9,1,0
Urban Guerrillas,1979,1986,11,11,11,11,2,0
Union of the Peoples of the Arabian Peninsula,1979,1979,11,11,20,20,1,5
Spanish Armed Group,1979,1980,1,11,13,29,4,1
Ukrainian nationalists,1979,2016,1,11,10,31,7,3
Proletarian Division for the Army of Communist Liberation,1979,1979,11,11,30,30,1,0
February 28 Popular League (El Salvador),1979,1980,1,12,0,22,11,41
Muslim Liberation Front,1979,1979,12,12,7,7,1,1
Anti-Marxist Commando,1979,1979,12,12,11,11,1,2
Maoists,1979,2018,1,12,0,31,1778,1706
Counter-revolutionaries,1979,1992,1,12,0,29,18,39
The Great Serpent,1979,1979,12,12,18,18,1,3
Commando 15th October,1979,1979,12,12,19,19,1,0
Communist Hunters Command (CCC),1979,1980,8,12,21,28,2,0
People's Path,1980,1980,1,1,3,3,1,1
Unione di u Populu Corsu (UPC),1980,1980,1,1,5,5,1,0
French Liberation Front,1980,1980,1,1,12,12,1,0
Neo-Fascist extremists,1980,2018,1,12,3,28,21,18
Organization for the Liberation of France from Jewish Occupation,1980,1980,1,1,13,13,1,0
Party of National Conciliation,1980,1980,1,1,15,15,1,1
May 15 Organization for the Liberation of Palestine,1980,1984,1,8,9,17,9,3
Sons of the South (Shiite Muslim Group),1980,1980,1,1,18,18,1,0
Black American Moslems,1980,1980,1,7,25,31,2,1
Autonomy (Italy),1980,1980,1,1,26,26,8,0
Action Squad,1980,1980,1,1,26,26,1,0
Tunisian Armed Resistance,1980,1980,1,1,27,27,1,41
Catalonian Resistance,1980,1980,1,1,28,28,1,0
Front for the Liberation of Lebanon from Foreigners,1980,1983,1,11,1,29,15,287
Peasant Militants,1980,1980,1,1,31,31,1,37
Separatists,1980,2018,1,12,0,31,682,912
Autonomous Revolutionary Brigade,1980,1980,2,2,1,1,1,1
East Timorese extremists,1980,1997,2,12,5,31,14,23
Revolutionary Student Brigade,1980,1980,2,2,7,7,1,0
Left-Wing Workers,1980,1980,2,2,8,8,1,0
Sandinistas,1980,1995,2,11,6,26,19,4
15th of September Liberation Legion,1980,1980,2,2,14,14,1,0
Qaddafi loyalists,1980,2016,2,10,0,24,22,11
National Independent Committee for Political Prisoners and Persecuted and Missing Persons,1980,1980,2,2,18,18,2,0
Right-Wing Death Squad,1980,2001,1,12,7,30,20,225
Student Revolutionary Front (FER),1980,1980,2,2,28,28,1,0
Proletarian communist commandos,1980,1980,2,2,29,29,1,0
Revolutionary Action Groups,1980,1980,3,3,1,1,1,0
Afghans,1980,2001,1,12,7,23,4,43
Territorial Anti-Fascist Patrols,1980,1980,3,3,8,8,1,0
28 February Armed Group,1980,1980,3,3,8,8,1,0
Liga Agraria Campesina,1980,1980,3,3,8,8,1,0
Action Directe,1980,1989,1,11,1,29,55,6
Mali students,1980,1980,3,3,24,24,1,0
Iparretarrak (IK),1980,2005,1,12,1,31,57,2
Khmer Serei Guerrillas,1980,1980,3,3,27,27,1,1
Quebec Separatists,1980,1980,3,3,28,28,1,0
Iraqi Mujahideen,1980,1983,2,8,1,18,9,24
Group Yuri Choukewitch,1980,1980,4,4,3,3,1,0
Gunmen,1980,2011,1,12,0,31,278,513
Communist Patrols for Counter Power,1980,1980,4,4,4,4,2,0
Grupo Estrella,1980,1982,4,8,11,27,4,0
Libyan Students,1980,1982,4,12,11,22,2,1
Organizacion Democratica Nacionalista (ORDEN),1980,1980,4,4,16,16,2,9
Communist Attack Units,1980,1980,4,4,16,16,1,0
Armed People,1980,2001,1,12,0,30,21,35
Jamaica Labor Party,1980,1997,4,5,6,20,2,10
National Liberation Movement Party,1980,1980,4,4,22,22,1,1
Territorial Armed Groups for Communism,1980,1980,4,4,24,24,1,0
Armed Groups of Organised Proletariat,1980,1980,5,5,0,0,1,1
Militant Zionist Resistance Movement,1980,1980,5,5,5,5,1,0
Spanish Falange,1980,1980,5,5,6,6,1,1
Anti-Communist Commando of the South,1980,1980,5,5,6,10,3,1
Kabul Government Agents,1980,1980,5,5,8,8,1,17
Popular Forces of April 25,1980,1986,2,12,0,30,39,10
Arab Liberation Army,1980,1980,5,5,17,17,1,1
Guatemalan Communist Party,1980,1983,5,9,5,22,2,13
Commandos,1980,1987,1,11,2,30,6,5
Comrades Organized in Partisan Nuclei,1980,1980,6,6,3,3,1,0
Joint Palestinian leftist organization,1980,1980,6,6,11,11,1,0
Israeli settlers,1980,2018,1,12,1,31,59,59
Working People's Alliance (WPA),1980,1980,6,6,13,13,1,1
Jordanian Masses Organization,1980,1980,6,6,14,14,1,0
Autonomous Anti-Capitalist Commandos (CAA),1980,1985,2,9,9,29,10,1
Bolivian Socialist Falange,1980,1980,6,6,17,18,6,0
Revolutionary Coordination of the Masses,1980,1980,6,6,20,20,1,0
Communist Anti-Nuclear Front,1980,1980,6,6,29,29,5,0
Secessionists,1980,2012,2,12,4,30,7,29
Al-Da'wah Party,1980,1980,7,7,0,0,1,2
Revolutionary Forces for the Liberation of Iraq,1980,1980,7,7,7,7,1,0
Organization of Volunteers for the Puerto Rican Revolution,1980,1986,4,12,3,30,13,1
Egyptian Revolutionary Organization,1980,1980,7,7,15,15,1,0
Welsh Extremists,1980,1987,6,7,18,28,4,0
Guardsmen of Islam,1980,1984,7,7,18,31,2,3
Ex-Somoza National Guard,1980,1981,1,12,6,27,20,88
Popular Anti-Communist Militias,1980,1980,7,7,22,22,3,3
Somoza Sympathizers,1980,1980,7,7,23,23,1,0
Anti-Communist Patriotic Front,1980,1980,7,7,23,24,2,3
Amal,1980,2008,1,12,1,29,24,24
Iraqi extremists,1980,2012,1,12,1,30,15,23
Revolutionary Committee for Counter Force,1980,1980,7,7,30,30,1,0
Worldwide Organization of Native Taiwanese,1980,1980,7,7,30,30,1,1
Somozists,1980,1981,1,12,1,30,4,13
Organization for Purging the Majlis (Parliament),1980,1980,8,8,4,4,1,0
Sham 'unite,1980,1980,8,8,6,6,1,1
Committee for the Safeguard of the Islamic Revolution,1980,1980,8,8,7,7,1,0
Fedayeen,1980,1980,8,8,11,12,3,0
People's Revolutionary Union,1980,1980,8,8,15,15,1,0
April 6th Liberation Movement,1980,1980,8,10,4,25,28,1
Free Revolutionaries Movement-The Giants,1980,1980,8,8,24,24,1,5
Patria Nueva (New Country),1980,1981,5,8,25,28,3,1
Malaysian Communist Party,1980,1988,2,9,8,22,2,3
Dev Yol,1980,1982,4,9,11,29,4,0
Maximiliano Hernandez Martinez Brigade,1980,1992,2,11,13,28,7,17
National Liberation Army (El Salvador),1980,1980,9,9,14,14,1,0
Revolutionary Popular Left,1980,1996,1,11,12,29,7,0
Armed Group for the Liberation of Guadeloupe (GLAG),1980,1980,9,11,17,17,6,1
Democratic Revolutionary Front (FDR),1980,1980,9,9,17,18,3,1
Bloque Anti-Guerrillero de Oriente (BAGO),1980,1980,9,9,24,24,1,14
Forces of the Struggling Ranks,1980,1980,10,12,2,26,3,0
Pro-Iraqi Terrorists,1980,1980,10,10,2,2,1,0
Armenian Organization for Armed Struggle,1980,1980,10,10,3,3,1,0
Revolutionary Nationalist Movement,1980,1980,10,10,5,5,1,0
Abu Hassan,1980,1980,10,10,5,5,1,2
Martyr Abu Ja'far Group,1980,1982,10,12,5,15,2,76
Rightist supporters of Democratic Alliance,1980,1980,10,10,6,6,1,0
Iraqi Strugglers' Movement,1980,1980,10,10,8,8,1,0
Gaddafi loyalists,1980,1980,10,10,14,14,1,1
Lorenzo Zelaya Revolutionary Front (LZRF),1980,1988,1,12,2,31,32,25
Tyrol Separatists,1980,1980,11,11,0,22,2,0
October Third Movement,1980,1980,11,11,1,1,1,0
Youths,1980,2011,1,12,2,31,22,0
International Movement of the Prolitariat,1980,1980,11,11,6,6,1,0
Italian Combatents for Alto Adige,1980,1980,11,11,21,21,1,0
Extreme Right Commando Brigade,1980,1980,11,11,27,27,1,6
Wit Kommando,1980,1980,12,12,10,10,1,0
Hatikvah Leumi or National Hope,1980,1980,12,12,10,10,1,0
Croatian Liberation Army,1980,1980,12,12,17,17,1,0
Oct-80,1980,1981,4,12,15,19,3,0
Puerto Rican Armed Resistance,1980,1981,5,12,16,21,5,1
Alliance of Revolutionary Cuban Organizations,1980,1980,12,12,22,22,1,0
Extortionists,1980,1996,8,12,24,29,4,0
Guadeloupe Liberation Army,1980,1983,1,12,1,30,7,1
Italians Attacking Policies of the Regional  SVP,1980,1980,12,12,30,30,1,0
Prisoner's Action Force,1980,1980,12,12,30,30,1,0
Territorial Patrols of Anti-Fascist Vigilance,1980,1980,12,12,31,31,1,0
Somali Salvation Front (SSF),1981,1981,1,1,0,0,1,0
Guadeloupe Separatists,1981,1981,1,1,4,4,1,0
Scottish Socialist Republican League,1981,1981,1,1,8,8,2,0
MILPAS Contras,1981,1981,1,1,18,18,1,1
Political Activists,1981,1996,1,7,2,29,13,14
Cinchoneros Popular Liberation Movement,1981,1994,1,10,1,27,20,8
Armenian Guerrillas,1981,1992,1,12,13,28,9,98
Syrian Terror,1981,1981,1,1,31,31,1,0
Arab Revolution/Liberation Vanguard Organization,1981,1981,2,2,0,19,5,6
Uganda Freedom Movement (UFM),1981,1985,2,5,0,30,19,44
Vincente Mecha Revolutionary Christians,1981,1981,2,2,1,1,1,0
Mexican Students,1981,1981,2,2,3,3,1,0
Autonomous Resistance,1981,1983,2,3,9,28,3,0
Three Stars Autonomous Commando,1981,1981,2,2,9,9,1,0
Revolutionary Communist Youth Brigade (RCYB),1981,1981,2,2,9,9,1,0
Budget for the Popular Prep or Death,1981,1981,2,2,17,17,1,0
GP II,1981,1981,2,2,19,19,1,0
Martyrs of La Talanguera,1981,1981,2,2,20,20,2,0
The Armed Secret Organization,1981,1981,2,2,21,21,1,0
Anti-Fascist Territorial Group,1981,1981,2,2,22,22,1,0
Left wing activists,1981,1981,2,2,24,24,1,0
Martyr Ali Nasir group,1981,1981,2,2,27,27,1,2
Popular Militia (Chile),1981,1981,3,3,1,1,2,0
Syrians,1981,1985,2,3,1,27,2,0
Al-Zulfikar,1981,1992,3,12,2,27,8,17
The United Southern Front,1981,1981,3,3,5,5,1,0
Dissidents linked to Zanga,1981,1981,3,3,11,11,1,2
Carlos Echeverria commando group,1981,1981,3,3,17,17,2,0
Komando Jihad (Indonesian),1981,1981,3,3,28,28,1,4
Anti-AF,1981,1981,3,3,30,30,1,0
Popular Resistance Army (PRA),1981,1981,4,4,22,22,1,5
Insurgents,1981,2011,1,12,2,31,13,27
Imperial Iranian Patriotic Organization,1981,1981,4,4,27,27,1,0
31 January People's Front (FP-31),1981,1982,4,7,12,28,15,0
Commando Delta,1981,1981,4,4,30,30,1,1
Uganda National Liberation Front (UNLF),1981,1981,5,5,0,0,1,4
Extreme Right-wing Socialist Phalange,1981,1981,5,5,2,2,1,1
Pessach Group,1981,1981,5,5,3,10,2,0
Movement of the Third Reich,1981,1981,5,5,11,11,1,1
Grey Wolves,1981,1998,5,11,4,27,8,1
International Proletarian Groups,1981,1981,5,5,14,14,1,0
Terra Lliure,1981,1992,1,12,2,31,61,1
Right-wing Terrorists,1981,1981,5,5,23,23,1,1
Turks,1981,1984,2,5,9,28,2,1
People's Brigade For A Healthy Genetic Future,1981,1981,5,5,29,29,1,0
Awami League,1981,2017,1,12,2,31,39,27
South African Liberation Support Cadre (SALSC),1981,1981,6,6,1,1,3,0
Revolutionary Anti-Capitalist Initiative,1981,1981,6,6,3,3,2,0
Student Front of the People,1981,1981,6,6,12,16,3,4
Revolutionary Communist Armed Nuclei,1981,1981,6,6,19,19,1,0
Rebels,1981,2011,1,12,0,31,35,410
19th of July Christian Resistance Brigade,1981,1981,6,6,25,25,1,1
Kuna Indians,1981,1992,4,6,3,25,7,1
Libyan,1981,1984,6,10,13,25,3,4
Jewish Defenders,1981,1981,6,6,25,25,1,0
Basque Country Autonomous Self-Defense Group,1981,1981,6,6,26,26,1,1
People's Liberation Movement,1981,1981,6,6,30,30,3,0
Guerrilla Commando of the people,1981,1981,7,7,1,1,1,0
Albanian extremists,1981,2017,1,11,1,31,47,35
Kamal Udwan Unit of Palestinians,1981,1981,7,7,14,14,1,1
Central African National Liberation Movement,1981,1981,7,7,14,14,1,3
Workers Brigade for Communism,1981,1981,7,7,15,15,6,1
Kurdish guerrillas,1981,1988,3,10,13,25,3,5
Anti-Communist Viets Organization,1981,1981,7,7,21,21,1,1
Basque Separatists,1981,2014,1,12,6,30,8,4
Arab Steadfastness Front,1981,1981,8,8,2,2,1,3
Blue Archer Group,1981,1981,8,8,2,2,1,1
Independent Albanian Movement,1981,1981,8,8,5,5,1,0
Ninth of June Organization,1981,1981,8,10,11,29,3,0
Azadejan (Liberation),1981,1981,8,8,13,13,1,0
Dissident,1981,1981,8,8,15,15,1,0
National Salvation Forces Organization,1981,1981,8,8,17,17,1,1
Black Brigade (United States),1981,1981,8,8,20,20,1,0
Thunder of Zion,1981,1981,9,9,0,0,1,0
Gang,1981,1996,6,11,2,27,4,9
Iranian Revolution Organization,1981,1981,9,9,4,4,1,1
Communist Nuclear,1981,1981,9,9,18,18,1,1
Marxists,1981,1995,1,12,1,31,19,24
Croatians,1981,1997,2,9,5,26,3,1
Sikh Extremists,1981,2017,1,12,0,31,709,2813
Egyptian Islamic Jihad (Al-Jihad),1981,1995,2,11,4,26,10,30
Dark Harvest,1981,1981,10,10,10,14,2,0
Nicaraguan Counter Revolutionaries (group unk),1981,1987,1,10,12,16,2,1
Communist Group of Proletarian Internationalism,1981,1981,10,10,23,23,3,0
Militant Welsh,1981,1981,10,10,26,26,1,0
Welsh nationalists,1981,1981,10,10,28,28,1,0
Nicaraguan Democratic Anti-Communist Movement,1981,1981,10,10,29,29,1,0
Croatian Revolutionary Cell-Bruno Busic Dept,1981,1981,11,11,7,7,1,0
Lebanese Armed Revolutionary Faction (LARF),1981,1985,1,11,3,26,8,3
Survivors of Golfech,1981,1982,6,11,3,14,4,0
Orly Organization,1981,1983,1,11,6,30,7,1
Extreme Left,1981,1981,11,11,19,19,1,0
Bande des Rats (the rat pack) Ukranian Group,1981,1981,11,11,24,24,1,0
Mercenaries,1981,1981,11,11,26,26,2,0
Contras,1981,1987,1,12,0,29,62,427
Revolutionary Armed Forces of Nicaragua (FARN),1981,1983,2,12,1,24,5,100
Iraqi Liberation Army,1981,1981,12,12,15,15,1,66
Roque Dalton Commando,1981,1981,12,12,20,20,1,0
Front Line Armed Nuclei (FLAN),1982,1982,1,1,6,6,1,0
Pacifist and Ecologist Committee,1982,1982,1,1,18,18,2,0
Juan Rayo Guerilla Group,1982,1982,1,1,21,21,1,0
MNR of the Left,1982,1982,2,2,0,0,1,0
Karen Insurgents,1982,1996,1,12,2,30,21,123
Antonia Martinez Student Commandos (AMSC),1982,1982,2,2,21,21,1,0
Death to Kidnappers (MAS),1982,1984,1,11,0,30,17,43
The Eradication of Evil,1982,1982,3,3,10,10,1,0
Iconoclastic Nihilists,1982,1982,3,3,12,12,1,0
4 August National Organization,1982,1982,3,3,15,15,2,0
Congolese Armed Patriotic Group,1982,1982,3,3,20,20,1,15
Village League,1982,1982,4,4,7,7,1,0
Kurdish Oppositionists,1982,1982,4,4,8,8,1,8
Arab Socialist Union Members,1982,1982,4,4,11,11,1,0
Al-Aqsa-Group,1982,1982,4,4,12,12,1,0
Peykar,1982,1982,4,4,14,14,1,0
Provisional Coordinating Committee for the Defense of Labor,1982,1982,4,4,30,30,4,0
Robin Garcia Student Front,1982,1982,5,5,7,7,1,0
"Anti Somoza Gp, name unk",1982,1982,5,5,14,14,1,0
Free Nasserite Revolutionaries,1982,1982,5,5,24,24,1,12
Army of God,1982,1998,1,12,1,29,26,3
Tamils,1982,2001,1,12,0,31,206,1483
Revolutionary Labor Commandos,1982,1982,6,6,10,10,1,0
Communist Front for Counterpower,1982,1982,7,7,18,18,2,0
Armenian Red Army,1982,1982,7,7,21,21,1,0
Supporters of Joshua Nkomo,1982,1983,3,12,1,31,8,23
Vietnamese Organization to Exterminate Communists and Restore the Nation,1982,1987,5,8,2,28,3,3
Movement of Islamic Action of Iraq,1982,1982,8,12,2,11,2,1
Polish Revolutionary Home Army,1982,1982,9,9,6,6,1,0
League of Communists,1982,1982,9,9,7,17,2,0
Black Lebanon,1982,1982,9,10,9,18,2,1
Iraqi Democratic Front,1982,1982,9,9,20,20,2,0
Akali Dal Party,1982,1985,7,10,0,30,2,5
Hungarian exile,1982,1982,10,10,18,18,1,0
Autonomy (Greece),1982,1982,10,10,21,21,1,0
Khomeini loyalists,1982,1984,2,11,7,18,2,0
